native-country = Yugoslavia:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Dominican-Republic:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Puerto-Rico:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Greece:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Germany:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Cuba:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Japan:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Canada:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = England:: Precision: 1.0. Recall: 0.75. Fbeta: 0.8571428571428571
native-country = Philippines:: Precision: 1.0. Recall: 0.9. Fbeta: 0.9473684210526316
native-country = ?:: Precision: 0.9310344827586207. Recall: 0.9. Fbeta: 0.9152542372881356
native-country = Vietnam:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = El-Salvador:: Precision: 1.0. Recall: 0.75. Fbeta: 0.8571428571428571
native-country = South:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Cambodia:: Precision: 1.0. Recall: 0.6666666666666666. Fbeta: 0.8
native-country = Taiwan:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = China:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = France:: Precision: 1.0. Recall: 0.75. Fbeta: 0.8571428571428571
native-country = Columbia:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Nicaragua:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Iran:: Precision: 0.8. Recall: 1.0. Fbeta: 0.888888888888889
native-country = Italy:: Precision: 1.0. Recall: 0.8571428571428571. Fbeta: 0.923076923076923
native-country = Haiti:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Hong:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Scotland:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Hungary:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Guatemala:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Trinadad&Tobago:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Poland:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Laos:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Thailand:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Portugal:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Ecuador:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Honduras:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Ireland:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Peru:: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
native-country = Outlying-US(Guam-USVI-etc):: Precision: 1.0. Recall: 1.0. Fbeta: 1.0
